expense_id,restaurat_id,bills,vendors,wage advances,repairs,sundries,Exp Date
1,1,36.09,60.51,99.41,392.81,54.98,2024-01-01
2,1,68.92,24.24,277.68,40.51,19.57,2024-01-02
3,1,500.18,14.36,483.0,139.27,1.72,2024-01-03
4,1,50.22,7.42,36.84,82.04,1.59,2024-01-04
5,1,123.59,8.06,361.53,257.99,73.32,2024-01-05
6,1,48.48,73.42,129.09,78.0,81.77,2024-01-06
7,1,68.24,4.28,309.15,42.21,87.15,2024-01-07
8,1,559.64,25.14,330.42,254.15,6.77,2024-01-08
9,1,46.23,41.9,6.98,96.71,11.19,2024-01-09
10,1,100.12,22.86,55.72,43.48,71.33,2024-01-10
11,1,161.64,49.2,42.74,260.81,12.24,2024-01-11
12,1,456.54,101.28,110.53,8.49,17.95,2024-01-12
13,1,143.67,0.66,267.22,99.59,92.08,2024-01-13
14,1,136.44,14.24,0.69,51.11,60.14,2024-01-14
15,1,105.81,80.43,8.8,77.62,35.79,2024-01-15
16,1,94.11,34.57,408.37,82.97,18.09,2024-01-16
17,1,88.34,2.81,858.2,123.6,34.09,2024-01-17
18,1,62.99,2.34,38.61,60.91,57.99,2024-01-18
19,1,69.13,37.22,334.43,109.37,89.4,2024-01-19
20,1,8.31,82.36,78.67,88.72,88.65,2024-01-20
21,1,750.06,82.32,367.86,109.17,70.98,2024-01-21
22,1,24.3,83.25,6.34,23.62,54.77,2024-01-22
23,1,68.49,67.69,128.15,42.1,58.08,2024-01-23
24,1,108.44,8.47,158.09,7.09,87.45,2024-01-24
25,1,110.53,78.59,277.92,142.31,65.63,2024-01-25
26,1,46.84,25.58,685.27,1102.26,77.35,2024-01-26
27,1,342.71,87.01,106.87,17.46,50.59,2024-01-27
28,1,107.91,3.7,548.12,96.98,52.05,2024-01-28
29,1,50.7,65.31,325.93,1237.99,41.76,2024-01-29
30,1,231.81,58.26,357.87,12.64,95.31,2024-01-30
31,1,72.49,20.08,688.22,188.51,86.54,2024-01-31
32,1,131.89,85.95,481.42,133.03,50.67,2024-02-01
33,1,6.72,1.51,53.61,1362.62,17.04,2024-02-02
34,1,202.22,10.4,309.41,1234.49,90.77,2024-02-03
35,1,175.59,63.73,52.66,82.11,3.61,2024-02-04
36,1,57.61,45.17,25.04,59.73,45.41,2024-02-05
37,1,37.36,36.11,480.49,240.34,85.36,2024-02-06
38,1,38.66,65.23,45.44,10.34,43.92,2024-02-07
39,1,495.92,187.53,100.14,131.87,92.13,2024-02-08
40,1,308.82,41.71,229.44,52.98,54.19,2024-02-09
41,1,24.99,66.87,16.04,224.02,36.09,2024-02-10
42,1,44.7,21.13,70.58,4.76,66.85,2024-02-11
43,1,26.26,26.25,128.34,190.05,48.62,2024-02-12
44,1,80.15,66.29,335.4,119.91,94.8,2024-02-13
45,1,181.85,63.25,236.9,7.18,23.61,2024-02-14
46,1,61.84,18.18,71.32,119.53,86.43,2024-02-15
47,1,62.48,2.46,130.81,71.88,53.35,2024-02-16
48,1,34.02,59.86,365.66,57.35,67.84,2024-02-17
49,1,125.53,4.79,305.54,47.96,59.9,2024-02-18
50,1,144.22,22.68,15.86,45.8,65.97,2024-02-19
51,1,20.76,9.11,67.6,71.67,11.51,2024-02-20
52,1,162.92,79.1,71.13,47.56,20.05,2024-02-21
53,1,183.1,13.43,500.32,92.29,51.66,2024-02-22
54,1,53.42,20.75,129.5,129.13,84.07,2024-02-23
55,1,32.38,3.92,4.84,53.35,75.11,2024-02-24
56,1,32.07,18.07,615.16,41.44,74.8,2024-02-25
57,1,17.1,115.03,12.1,41.78,24.28,2024-02-26
58,1,4.83,18.21,157.99,36.29,68.39,2024-02-27
59,1,33.63,0.48,25.53,176.85,69.72,2024-02-28
60,1,100.27,70.63,54.02,36.01,30.31,2024-02-29
61,1,6.65,9.66,207.16,42.27,59.23,2024-03-01
62,1,144.59,2.67,39.09,1329.93,35.19,2024-03-02
63,1,14.39,38.4,46.05,110.51,65.82,2024-03-03
64,1,19.64,21.24,13.77,79.05,10.27,2024-03-04
65,1,214.69,7.05,41.6,44.88,41.46,2024-03-05
66,1,36.61,59.68,179.19,45.93,78.37,2024-03-06
67,1,18.16,6.95,336.59,381.33,13.12,2024-03-07
68,1,134.11,3.68,82.47,149.85,19.2,2024-03-08
69,1,52.12,9.37,159.02,84.26,20.7,2024-03-09
70,1,50.74,14.81,853.87,58.79,15.67,2024-03-10
71,1,11.78,19.14,64.13,120.89,14.68,2024-03-11
72,1,516.62,25.5,99.8,18.38,43.86,2024-03-12
73,1,332.96,127.31,10.33,33.06,4.0,2024-03-13
74,1,266.53,75.76,452.35,235.91,11.33,2024-03-14
75,1,54.85,3.26,705.35,12.77,17.82,2024-03-15
76,1,18.02,61.38,123.37,29.17,48.46,2024-03-16
77,1,277.8,7.06,105.05,55.15,1.3,2024-03-17
78,1,151.91,31.37,172.61,59.59,8.26,2024-03-18
79,1,20.24,73.48,146.29,16.85,63.91,2024-03-19
80,1,17.68,21.4,917.02,6.11,54.93,2024-03-20
81,1,17.88,26.4,36.25,19.96,4.77,2024-03-21
82,1,143.03,22.62,46.95,71.65,94.56,2024-03-22
83,1,132.69,20.15,181.77,73.94,26.66,2024-03-23
84,1,40.6,55.21,108.57,14.97,39.3,2024-03-24
85,1,23.64,2.65,4.09,98.3,90.35,2024-03-25
86,1,101.0,56.35,49.85,16.6,45.54,2024-03-26
87,1,324.49,29.55,120.57,16.17,70.32,2024-03-27
88,1,188.59,33.06,34.04,19.24,71.57,2024-03-28
89,1,325.48,25.29,414.74,1089.16,13.38,2024-03-29
90,1,16.21,199.99,282.9,338.59,66.72,2024-03-30
91,1,172.08,7.64,24.94,83.64,68.86,2024-03-31
92,1,18.06,79.84,92.27,12.01,59.75,2024-04-01
93,1,139.62,37.99,309.88,86.92,72.49,2024-04-02
94,1,3.99,8.01,25.02,10.43,52.98,2024-04-03
95,1,194.73,43.05,71.6,49.97,66.27,2024-04-04
96,1,193.01,38.65,42.76,33.52,83.83,2024-04-05
97,1,71.39,21.94,426.65,171.83,69.95,2024-04-06
98,1,199.53,30.53,328.6,122.85,17.69,2024-04-07
99,1,216.51,32.21,36.87,42.14,16.52,2024-04-08
100,1,56.06,8.99,184.94,11.92,62.96,2024-04-09
101,1,399.12,14.0,141.81,71.04,97.32,2024-04-10
102,1,100.43,16.97,999.99,27.44,95.24,2024-04-11
103,1,100.74,7.03,352.56,309.84,16.31,2024-04-12
104,1,144.07,29.06,150.16,1.32,81.86,2024-04-13
105,1,119.27,6.86,23.01,49.19,77.35,2024-04-14
106,1,203.96,19.95,85.88,38.02,2.21,2024-04-15
107,1,9.68,4.38,8.67,94.9,2.69,2024-04-16
108,1,136.07,30.51,279.97,5.42,35.08,2024-04-17
109,1,151.57,9.31,302.76,3.2,72.05,2024-04-18
110,1,382.11,7.91,22.02,225.84,1.55,2024-04-19
111,1,231.67,71.09,12.57,30.86,81.84,2024-04-20
112,1,190.69,24.18,14.74,147.58,14.2,2024-04-21
113,1,29.19,29.88,61.7,1352.26,79.21,2024-04-22
114,1,176.43,0.5,237.07,35.33,12.92,2024-04-23
115,1,14.74,51.08,19.49,409.0,33.41,2024-04-24
116,1,164.68,11.3,31.48,93.69,43.33,2024-04-25
117,1,30.55,20.93,57.76,61.88,86.08,2024-04-26
118,1,28.38,81.76,367.61,47.46,85.45,2024-04-27
119,1,51.35,24.15,196.46,20.75,18.03,2024-04-28
120,1,28.33,56.48,26.26,21.1,44.67,2024-04-29
121,1,178.83,1.62,45.8,65.57,46.34,2024-04-30
122,1,224.22,8.23,263.1,654.6,54.97,2024-05-01
123,1,303.19,70.41,89.9,429.73,74.31,2024-05-02
124,1,331.0,40.52,65.1,23.21,68.81,2024-05-03
125,1,49.51,27.55,114.64,152.42,15.01,2024-05-04
126,1,325.57,83.18,163.26,170.77,31.0,2024-05-05
127,1,434.24,29.48,458.88,15.8,87.28,2024-05-06
128,1,276.1,3.42,126.53,45.21,91.44,2024-05-07
129,1,455.01,10.72,250.56,0.03,40.81,2024-05-08
130,1,93.38,36.73,49.89,11.4,77.27,2024-05-09
131,1,49.09,3.01,325.52,20.71,16.51,2024-05-10
132,1,349.77,7.75,480.98,1178.72,58.1,2024-05-11
133,1,84.06,37.78,215.91,7.86,43.7,2024-05-12
134,1,328.08,11.41,93.25,62.26,17.07,2024-05-13
135,1,49.12,10.61,94.44,133.03,72.38,2024-05-14
136,1,317.79,2.65,576.34,118.93,52.89,2024-05-15
137,1,11.76,79.3,113.27,61.81,38.76,2024-05-16
138,1,8.53,16.61,83.42,5.01,3.91,2024-05-17
139,1,98.74,44.96,50.74,140.32,94.23,2024-05-18
140,1,313.56,91.86,9.59,12.03,98.47,2024-05-19
141,1,148.1,103.64,184.75,43.26,56.15,2024-05-20
142,1,143.81,8.62,43.0,1176.33,38.12,2024-05-21
143,1,212.45,90.92,254.3,0.04,16.26,2024-05-22
144,1,80.08,4.89,235.39,84.56,99.82,2024-05-23
145,1,16.4,54.61,32.65,38.11,53.0,2024-05-24
146,1,1.88,5.32,917.13,101.37,95.45,2024-05-25
147,1,11.56,21.41,173.52,24.55,33.64,2024-05-26
148,1,417.95,72.74,498.94,93.97,40.43,2024-05-27
149,1,268.78,147.34,273.93,51.19,74.11,2024-05-28
150,1,184.03,19.61,116.24,70.49,31.82,2024-05-29
151,1,14.36,66.44,52.28,7.65,94.52,2024-05-30
152,1,32.27,53.1,111.29,103.23,41.5,2024-05-31
