cashup_id,restaurant_id,bod_amount,sales,expenses,tax,delivery_charges,eod_amount,match_status,banking_id,cash_up_date,cashup_status
1,1,0.0,2012.07,643.8,171.96,73.19,1295.08,True,1,2024-01-01,Closed
2,1,1251.01,1795.25,430.92,153.9,77.45,2537.89,True,2,2024-01-02,Closed
3,1,421.81,1956.39,1138.53,167.34,75.32,1164.35,True,3,2024-01-03,Closed
4,1,868.41,2060.27,178.11,177.02,98.49,2652.08,True,4,2024-01-04,Closed
5,1,2358.56,1982.88,824.49,169.3,67.91,3449.04,True,5,2024-01-05,Closed
6,1,2936.27,2092.29,410.76,179.71,98.68,4519.12,True,6,2024-01-06,Closed
7,1,2557.68,2075.17,511.03,177.97,91.15,4030.67,True,7,2024-01-07,Closed
8,1,1142.27,2026.38,1176.12,174.25,101.74,1890.79,True,8,2024-01-08,Closed
9,1,610.85,2062.95,203.01,177.44,103.9,2366.89,True,9,2024-01-09,Closed
10,1,810.39,2018.9,293.51,172.18,64.09,2471.69,True,10,2024-01-10,Closed
11,1,419.02,1986.21,526.63,170.8,98.8,1779.8,True,11,2024-01-11,Closed
12,1,428.28,2118.18,694.79,181.26,82.24,1769.43,True,12,2024-01-12,Closed
13,1,202.87,2112.81,603.22,181.39,97.91,1614.55,True,13,2024-01-13,Closed
14,1,849.98,1953.08,262.62,167.34,82.39,2458.05,True,14,2024-01-14,Closed
15,1,2409.59,2018.35,308.45,172.17,64.96,4054.53,True,15,2024-01-15,Closed
16,1,979.79,1940.69,638.11,166.81,95.01,2187.36,True,16,2024-01-16,Closed
17,1,953.36,1870.78,1107.04,161.25,102.87,1614.23,True,17,2024-01-17,Closed
18,1,1457.36,1857.75,222.84,158.38,57.44,3034.83,True,18,2024-01-18,Closed
19,1,805.62,2112.82,639.55,183.39,147.82,2131.07,True,19,2024-01-19,Closed
20,1,407.18,2152.52,346.71,185.33,112.61,2100.38,True,20,2024-01-20,Closed
21,1,1158.65,2078.91,1380.39,177.64,75.87,1781.3,True,21,2024-01-21,Closed
22,1,825.18,1931.74,192.28,165.41,78.86,2485.78,True,22,2024-01-22,Closed
23,1,2097.5,1999.07,364.51,169.83,46.78,3685.28,True,23,2024-01-23,Closed
24,1,2238.07,2112.95,369.54,181.92,110.94,3870.54,True,24,2024-01-24,Closed
25,1,942.93,2017.35,674.98,173.98,113.89,2171.41,True,25,2024-01-25,Closed
26,1,1515.63,1880.21,1937.3,161.16,79.98,1378.56,True,26,2024-01-26,Closed
27,1,1123.51,1901.08,604.64,163.13,86.33,2333.62,True,27,2024-01-27,Closed
28,1,395.59,2049.41,808.76,176.41,106.78,1529.46,True,28,2024-01-28,Closed
29,1,360.16,2034.95,1721.69,174.43,87.99,585.43,True,29,2024-01-29,Closed
30,1,494.63,1982.49,755.89,170.41,97.31,1623.92,True,30,2024-01-30,Closed
31,1,1508.23,1962.08,1055.84,168.14,83.71,2330.76,True,31,2024-01-31,Closed
32,1,2110.62,2007.15,882.96,171.52,72.81,3162.0,True,32,2024-02-01,Closed
33,1,546.82,1743.76,1441.5,148.86,59.48,789.6,True,33,2024-02-02,Closed
34,1,726.02,1981.11,1847.29,169.16,68.29,791.55,True,34,2024-02-03,Closed
35,1,373.11,2006.42,377.7,170.61,51.59,1950.24,True,35,2024-02-04,Closed
36,1,592.31,2033.52,232.96,172.56,43.59,2349.28,True,36,2024-02-05,Closed
37,1,1810.77,2041.25,879.66,174.89,86.12,2886.24,True,37,2024-02-06,Closed
38,1,1316.49,1992.22,203.59,169.78,61.12,3044.0,True,38,2024-02-07,Closed
39,1,2244.8,2046.23,1007.59,173.69,44.81,3238.63,True,39,2024-02-08,Closed
40,1,620.05,1857.55,687.14,158.47,60.5,1729.96,True,40,2024-02-09,Closed
41,1,1203.88,2146.16,368.01,184.22,99.67,2882.36,True,41,2024-02-10,Closed
42,1,103.15,2190.87,208.02,185.4,33.99,2052.01,True,42,2024-02-11,Closed
43,1,458.46,2039.97,419.52,175.76,110.34,1968.57,True,43,2024-02-12,Closed
44,1,102.42,2077.63,696.55,180.05,138.36,1345.14,True,44,2024-02-13,Closed
45,1,1267.34,1980.15,512.79,169.69,84.24,2650.46,True,45,2024-02-14,Closed
46,1,188.49,1874.46,357.3,160.77,82.3,1623.35,True,46,2024-02-15,Closed
47,1,769.71,1847.76,320.98,157.63,60.7,2235.79,True,47,2024-02-16,Closed
48,1,488.34,1762.48,584.73,150.65,64.91,1601.18,True,48,2024-02-17,Closed
49,1,1495.72,2187.47,543.72,185.17,36.35,3103.12,True,49,2024-02-18,Closed
50,1,1822.88,1984.23,294.53,169.51,70.5,3442.08,True,50,2024-02-19,Closed
51,1,2821.43,2126.08,180.65,181.93,83.15,4683.71,True,51,2024-02-20,Closed
52,1,4655.91,2316.34,380.76,197.99,85.96,6505.53,True,52,2024-02-21,Closed
53,1,45.71,1857.51,840.8,158.4,59.02,1003.4,True,53,2024-02-22,Closed
54,1,373.32,2109.16,416.87,178.73,38.63,2026.98,True,54,2024-02-23,Closed
55,1,626.6,2052.55,169.6,175.74,83.63,2425.92,True,55,2024-02-24,Closed
56,1,2066.51,2250.33,781.54,192.41,85.41,3449.89,True,56,2024-02-25,Closed
57,1,2875.53,2122.01,210.29,181.59,84.28,4702.97,True,57,2024-02-26,Closed
58,1,3330.7,2285.37,285.71,195.01,76.27,5254.09,True,58,2024-02-27,Closed
59,1,5017.54,2203.15,306.21,189.11,100.37,6814.11,True,59,2024-02-28,Closed
60,1,5888.61,2059.11,291.24,176.39,85.68,7570.8,True,60,2024-02-29,Closed
61,1,2035.64,2071.31,324.97,177.32,83.82,3698.16,True,61,2024-03-01,Closed
62,1,2207.26,2167.19,1551.47,185.84,94.62,2728.36,True,62,2024-03-02,Closed
63,1,1453.37,2070.0,275.17,179.16,131.24,3116.96,True,63,2024-03-03,Closed
64,1,3082.22,1805.91,143.97,154.78,77.81,4666.35,True,64,2024-03-04,Closed
65,1,3602.16,2091.37,349.68,177.3,40.22,5303.63,True,65,2024-03-05,Closed
66,1,4365.89,2096.7,399.78,179.18,76.51,5986.3,True,66,2024-03-06,Closed
67,1,3810.07,2035.35,756.15,174.53,89.47,4999.8,True,67,2024-03-07,Closed
68,1,3851.4,1976.86,389.31,169.03,74.18,5364.77,True,68,2024-03-08,Closed
69,1,1851.77,1933.18,325.47,165.36,74.83,3384.65,True,69,2024-03-09,Closed
70,1,2784.91,2088.33,993.88,178.16,67.92,3811.44,True,70,2024-03-10,Closed
71,1,2609.95,2253.01,230.62,191.96,67.27,4565.07,True,71,2024-03-11,Closed
72,1,4491.37,2023.09,704.16,172.8,71.75,5738.55,True,72,2024-03-12,Closed
73,1,995.88,2079.71,507.66,177.1,60.49,2507.44,True,73,2024-03-13,Closed
74,1,667.37,2100.74,1041.88,180.32,96.6,1629.63,True,74,2024-03-14,Closed
75,1,1423.04,2152.13,794.05,183.78,74.85,2706.27,True,75,2024-03-15,Closed
76,1,2356.66,1929.12,280.4,165.02,74.41,3930.97,True,76,2024-03-16,Closed
77,1,1532.49,2001.79,446.36,171.44,81.68,3006.24,True,77,2024-03-17,Closed
78,1,1238.14,2179.46,423.74,185.41,58.54,2935.32,True,78,2024-03-18,Closed
79,1,486.91,1832.46,320.77,157.21,81.99,1916.61,True,79,2024-03-19,Closed
80,1,932.5,1873.59,1017.14,160.76,84.63,1704.32,True,80,2024-03-20,Closed
81,1,1685.13,2096.55,105.26,180.14,100.86,3575.56,True,81,2024-03-21,Closed
82,1,1681.48,1988.77,378.81,170.09,76.16,3215.28,True,82,2024-03-22,Closed
83,1,1750.51,1840.93,435.21,156.68,52.45,3103.78,True,83,2024-03-23,Closed
84,1,1963.49,2019.15,258.65,172.68,77.82,3646.17,True,84,2024-03-24,Closed
85,1,1149.17,2163.52,219.03,185.69,98.86,2994.8,True,85,2024-03-25,Closed
86,1,2404.53,2221.23,269.34,190.11,87.76,4268.66,True,86,2024-03-26,Closed
87,1,704.57,2074.84,561.1,177.11,71.02,2147.29,True,87,2024-03-27,Closed
88,1,59.16,2202.84,346.5,187.77,68.46,1847.04,True,88,2024-03-28,Closed
89,1,489.68,1992.04,1868.05,169.45,52.45,561.22,True,89,2024-03-29,Closed
90,1,212.21,2000.7,904.41,170.85,70.1,1238.4,True,90,2024-03-30,Closed
91,1,66.6,1984.97,357.16,169.77,75.79,1618.62,True,91,2024-03-31,Closed
92,1,624.18,1802.19,261.93,153.47,52.12,2112.32,True,92,2024-04-01,Closed
93,1,2094.85,1982.43,646.9,170.54,100.67,3329.71,True,93,2024-04-02,Closed
94,1,1997.51,2175.34,100.43,187.41,116.97,3955.45,True,94,2024-04-03,Closed
95,1,2602.35,2163.69,425.62,184.86,77.65,4262.77,True,95,2024-04-04,Closed
96,1,1559.76,2130.55,391.77,181.89,73.01,3225.53,True,96,2024-04-05,Closed
97,1,3178.88,1945.84,761.76,165.71,57.06,4305.9,True,97,2024-04-06,Closed
98,1,2575.5,2339.38,699.2,199.5,75.03,4140.65,True,98,2024-04-07,Closed
99,1,1441.92,1937.1,344.25,165.53,69.72,2965.05,True,99,2024-04-08,Closed
100,1,340.27,2037.69,324.87,175.76,114.14,1938.95,True,100,2024-04-09,Closed
101,1,1176.2,1897.88,723.29,162.86,85.81,2264.98,True,101,2024-04-10,Closed
102,1,691.29,2017.97,1240.07,172.26,68.69,1400.5,True,102,2024-04-11,Closed
103,1,24.52,2176.4,786.48,184.78,48.7,1365.74,True,103,2024-04-12,Closed
104,1,1269.23,1976.11,406.47,168.15,53.83,2785.04,True,104,2024-04-13,Closed
105,1,1309.21,1927.4,275.68,164.03,53.18,2907.75,True,105,2024-04-14,Closed
106,1,533.22,1994.12,350.02,170.52,75.36,2101.96,True,106,2024-04-15,Closed
107,1,646.27,1929.72,120.32,165.64,88.82,2366.85,True,107,2024-04-16,Closed
108,1,357.15,2192.1,487.05,187.54,85.58,1976.62,True,108,2024-04-17,Closed
109,1,1779.52,2326.72,538.89,200.16,118.22,3449.13,True,109,2024-04-18,Closed
110,1,3054.12,2270.85,639.43,194.08,82.65,4602.89,True,110,2024-04-19,Closed
111,1,3299.86,1973.31,428.03,169.87,102.82,4742.32,True,111,2024-04-20,Closed
112,1,3465.18,1828.41,391.39,155.84,55.77,4846.43,True,112,2024-04-21,Closed
113,1,4684.27,2035.01,1552.24,175.39,111.41,5055.63,True,113,2024-04-22,Closed
114,1,4883.48,2091.44,462.25,180.82,128.87,6383.8,True,114,2024-04-23,Closed
115,1,2355.53,1961.24,527.72,168.26,88.06,3700.99,True,115,2024-04-24,Closed
116,1,1946.54,2000.11,344.48,171.66,90.97,3511.2,True,116,2024-04-25,Closed
117,1,453.28,2283.09,257.2,195.37,89.54,2389.63,True,117,2024-04-26,Closed
118,1,2130.97,2018.23,610.66,172.86,83.19,3455.35,True,118,2024-04-27,Closed
119,1,862.6,1979.94,310.74,169.58,81.76,2450.04,True,119,2024-04-28,Closed
120,1,599.16,1994.0,176.84,172.53,125.23,2291.09,True,120,2024-04-29,Closed
121,1,896.49,2152.57,338.16,184.43,90.65,2620.25,True,121,2024-04-30,Closed
122,1,2445.94,2105.15,1205.12,178.11,32.21,3313.76,True,122,2024-05-01,Closed
123,1,970.94,1973.09,967.54,169.44,92.44,1884.05,True,123,2024-05-02,Closed
124,1,1840.45,1971.98,528.64,169.64,99.3,3184.49,True,124,2024-05-03,Closed
125,1,74.66,1779.26,359.13,152.22,68.45,1426.34,True,125,2024-05-04,Closed
126,1,436.76,1860.67,773.78,159.31,76.11,1447.54,True,126,2024-05-05,Closed
127,1,436.57,1979.53,1025.68,169.13,71.56,1318.86,True,127,2024-05-06,Closed
128,1,832.67,1813.95,542.7,154.76,59.71,2044.21,True,128,2024-05-07,Closed
129,1,1701.32,1938.69,757.13,167.28,110.9,2771.98,True,129,2024-05-08,Closed
130,1,1029.78,1930.05,268.67,164.74,65.5,2625.66,True,130,2024-05-09,Closed
131,1,1242.58,1738.48,414.84,149.52,86.94,2479.28,True,131,2024-05-10,Closed
132,1,1849.74,2289.15,2075.32,195.41,78.5,1985.07,True,132,2024-05-11,Closed
133,1,475.53,1787.47,389.31,153.57,85.98,1787.71,True,133,2024-05-12,Closed
134,1,989.83,2053.59,512.07,174.33,44.88,2486.47,True,134,2024-05-13,Closed
135,1,1283.15,1673.54,359.58,143.02,61.13,2535.98,True,135,2024-05-14,Closed
