sales_id,restaurant_id,creditcard_tip,drinks_payment,food_payment,other_payment,service_charges,delivery_charges,Date
1,1,7.21,392.65,1316.4,303.02,64.02,73.19,2024-01-01
2,1,1.53,407.42,1101.34,286.49,51.05,77.45,2024-01-02
3,1,3.48,479.92,1206.03,270.44,60.16,75.32,2024-01-03
4,1,1.06,403.96,1299.37,356.94,53.77,98.49,2024-01-04
5,1,5.4,480.91,1210.69,291.28,65.19,67.91,2024-01-05
6,1,3.73,503.45,1241.83,347.01,55.28,98.68,2024-01-06
7,1,3.09,406.82,1384.11,284.24,58.18,91.15,2024-01-07
8,1,4.62,447.69,1249.98,328.71,50.45,101.74,2024-01-08
9,1,6.44,492.05,1241.06,329.84,51.2,103.9,2024-01-09
10,1,7.6,485.31,1204.03,329.56,68.9,64.09,2024-01-10
11,1,9.78,427.42,1211.57,347.22,49.9,98.8,2024-01-11
12,1,9.55,422.3,1406.45,289.43,64.79,82.24,2024-01-12
13,1,2.11,493.96,1297.52,321.33,56.68,97.91,2024-01-13
14,1,3.67,450.28,1262.66,240.14,56.45,82.39,2024-01-14
15,1,8.63,414.89,1323.83,279.63,68.46,64.96,2024-01-15
16,1,4.53,469.31,1148.73,322.65,49.54,95.01,2024-01-16
17,1,6.78,431.96,1128.52,310.3,42.08,102.87,2024-01-17
18,1,3.42,433.63,1086.39,337.73,64.17,57.44,2024-01-18
19,1,7.97,436.44,1398.56,277.82,31.73,147.82,2024-01-19
20,1,1.28,404.34,1392.82,355.36,51.33,112.61,2024-01-20
21,1,9.9,432.04,1312.61,334.26,66.01,75.87,2024-01-21
22,1,6.07,431.31,1175.86,324.57,57.16,78.86,2024-01-22
23,1,6.94,411.79,1277.44,309.84,76.58,46.78,2024-01-23
24,1,8.3,444.28,1330.51,338.16,50.17,110.94,2024-01-24
25,1,6.87,448.84,1272.15,296.36,43.91,113.89,2024-01-25
26,1,9.73,438.57,1136.4,305.24,54.02,79.98,2024-01-26
27,1,3.05,426.25,1158.43,316.4,51.88,86.33,2024-01-27
28,1,4.3,449.43,1347.46,252.52,49.09,106.78,2024-01-28
29,1,2.62,407.64,1318.73,308.58,57.75,87.99,2024-01-29
30,1,2.78,382.42,1330.91,269.16,50.45,97.31,2024-01-30
31,1,0.63,472.27,1183.55,306.26,56.23,83.71,2024-01-31
32,1,6.76,499.83,1233.51,273.81,63.96,72.81,2024-02-01
33,1,7.09,434.54,1096.52,212.7,57.46,59.48,2024-02-02
34,1,1.69,468.6,1247.82,264.69,64.94,68.29,2024-02-03
35,1,7.45,514.26,1194.64,297.52,74.54,51.59,2024-02-04
36,1,3.79,368.52,1349.46,315.54,79.86,43.59,2024-02-05
37,1,7.54,370.37,1389.74,281.14,59.0,86.12,2024-02-06
38,1,0.18,506.72,1183.89,301.61,69.05,61.12,2024-02-07
39,1,9.06,385.43,1374.72,286.08,79.91,44.81,2024-02-08
40,1,1.08,407.19,1149.45,300.91,62.63,60.5,2024-02-09
